ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Has Open Issues
ckm91kfnx00023a68wpylemhh,ckm90prus1yn00rer41ja3lcx,studying commerce  how am i suppose to remember so much????,"{""objects"":[],""classifications"":[{""featureId"":""ckm91kejk00013a68uhz8qkd7"",""schemaId"":""ckm91iubz0ryu0z9y27s01tdc"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":{""featureId"":""ckm91kejj00003a68kk834nzz"",""schemaId"":""ckm91iuco0rz00z9y1dwb9r8i"",""title"":""Negative"",""value"":""negative""}}]}",obiekweagbu@gmail.com,Context Classsifier,1615719322000,1615719356000,29.521,1468216327,-1,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91kfnx00023a68wpylemhh,0
ckm91klqw00053a686wtdtpoz,ckm90pru61wk00rer748sawq0,Feel like I'm stuck in a rut. Waiting to hear back from schools is killing me.  Also decided to take a break from #wow for awhile.,"{""objects"":[],""classifications"":[{""featureId"":""ckm91kkcq00043a68fxj9n3lf"",""schemaId"":""ckm91iubz0ryu0z9y27s01tdc"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":{""featureId"":""ckm91kkcq00033a683a59z049"",""schemaId"":""ckm91iuco0rz00z9y1dwb9r8i"",""title"":""Negative"",""value"":""negative""}}]}",obiekweagbu@gmail.com,Context Classsifier,1615719330000,1615719356090,6.904,1468068550,,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91klqw00053a686wtdtpoz,0
ckm91ksye00083a68khzm45s9,ckm90prtf1ua80rere2ud9gok,ChiefDelphi is down ,"{""objects"":[],""classifications"":[{""featureId"":""ckm91krv700073a68yv6p6oag"",""schemaId"":""ckm91iubz0ryu0z9y27s01tdc"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":{""featureId"":""ckm91krv700063a68qb4bedzj"",""schemaId"":""ckm91iuco0ryy0z9y9q3de6q3"",""title"":""Neutral"",""value"":""neutral""}}]}",obiekweagbu@gmail.com,Context Classsifier,1615719339000,1615719356415,8.349,1467892667,,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91ksye00083a68khzm45s9,0
ckm91l4qj000b3a68zazpusf1,ckm90prut1yqk0rer4v5i8yeh,"@friendlypharm  too bad it's true, for the most part ","{""objects"":[],""classifications"":[{""featureId"":""ckm91l3fz000a3a68z76ff8h3"",""schemaId"":""ckm91iubz0ryu0z9y27s01tdc"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":{""featureId"":""ckm91l3fz00093a68nbesnodn"",""schemaId"":""ckm91iuco0rz00z9y1dwb9r8i"",""title"":""Negative"",""value"":""negative""}}]}",obiekweagbu@gmail.com,Context Classsifier,1615719354000,1615719464477,14.645,1468224250,,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91l4qj000b3a68zazpusf1,0
ckm91mlba00023a684l6k2u2x,ckm90pru61wnk0rerdpueck9m,@paulieseow hahahahahah i can easily make ice milo but its just not the same ,"{""objects"":[],""classifications"":[{""featureId"":""ckm91mk1n00013a68y2lpfrlu"",""schemaId"":""ckm91m8dr0s4l0z9ye42x2w19"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":[{""featureId"":""ckm91mk1n00003a68oacthgsf"",""schemaId"":""ckm91m8fp0s4s0z9yhtj0b2y4"",""title"":""Positive"",""value"":""positive""}]}]}",obiekweagbu@gmail.com,Context Classsifier,1615719422000,1615719466414,9.807,1468075470,,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91mlba00023a684l6k2u2x,0
ckm91mr5e00053a689wk8wve7,ckm90prtj1uds0rer0dr54kz5,@hyperbets i hope this doesn't last too long.  i feel miserable!,"{""objects"":[],""classifications"":[{""featureId"":""ckm91mpk300043a68d2f91jw3"",""schemaId"":""ckm91m8dr0s4l0z9ye42x2w19"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":[{""featureId"":""ckm91mpk300033a68l19c2koh"",""schemaId"":""ckm91m8fq0s4u0z9y4bap6qlv"",""title"":""Negative"",""value"":""negative""}]}]}",obiekweagbu@gmail.com,Context Classsifier,1615719430000,1615719467000,7.009,1467897316,-1,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91mr5e00053a689wk8wve7,0
ckm91muy800083a68xgdy95kx,ckm90pruu1yu40rer3f9mflnc,In work  sooo bored !,"{""objects"":[],""classifications"":[{""featureId"":""ckm91mu3400073a680yppczxs"",""schemaId"":""ckm91m8dr0s4l0z9ye42x2w19"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":[{""featureId"":""ckm91mu3400063a68jn9xc4em"",""schemaId"":""ckm91m8fq0s4u0z9y4bap6qlv"",""title"":""Negative"",""value"":""negative""}]}]}",obiekweagbu@gmail.com,Context Classsifier,1615719435000,1615719467000,4.287,1468231861,-1,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91muy800083a68xgdy95kx,0
ckm91n0on000b3a68pv51w8rw,ckm90pru71wr40rer43gi8c45,"About to shower, which I hope will wake me up at last. Oh, and the synth experiments yielded nothing last night ","{""objects"":[],""classifications"":[{""featureId"":""ckm91mz1o000a3a68qsrly0ij"",""schemaId"":""ckm91m8dr0s4l0z9ye42x2w19"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":[{""featureId"":""ckm91mz1o00093a68u03tx6ka"",""schemaId"":""ckm91m8fq0s4u0z9y4bap6qlv"",""title"":""Negative"",""value"":""negative""}]}]}",obiekweagbu@gmail.com,Context Classsifier,1615719442000,1615719467000,6.622,1468082681,-1,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91n0on000b3a68pv51w8rw,0
ckm91n3xo000e3a6847nacotr,ckm90prtk1uhc0rer1z7f8e1p,listening to nathan cry.... ,"{""objects"":[],""classifications"":[{""featureId"":""ckm91n2m9000d3a68yerm6mnz"",""schemaId"":""ckm91m8dr0s4l0z9ye42x2w19"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":[{""featureId"":""ckm91n2m9000c3a689sbqx6me"",""schemaId"":""ckm91m8fq0s4u0z9y4bap6qlv"",""title"":""Negative"",""value"":""negative""}]}]}",obiekweagbu@gmail.com,Context Classsifier,1615719446000,1615719467113,3.626,1467906723,,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91n3xo000e3a6847nacotr,0
ckm91n8ez000h3a68m407upe9,ckm90pruw1yxo0rerd2nxfjpx,just finished cooking spag bol from scratch.. in other words been cooking for the past 4 hours! i'm not hungry anymore ,"{""objects"":[],""classifications"":[{""featureId"":""ckm91n7hd000g3a689jtmxl2a"",""schemaId"":""ckm91m8dr0s4l0z9ye42x2w19"",""title"":""Sentiment Classifier"",""value"":""sentiment_classifier"",""answer"":[{""featureId"":""ckm91n7hd000f3a689jnzlhm3"",""schemaId"":""ckm91m8fq0s4u0z9y4bap6qlv"",""title"":""Negative"",""value"":""negative""}]}]}",obiekweagbu@gmail.com,Context Classsifier,1615719453000,1615719467400,5.127,1468239644,,-1,,,training_data.csv,[],https://editor.labelbox.com?project=ckm8vidc05gek0747yqs1fkmt&label=ckm91n8ez000h3a68m407upe9,0
